"sensor","value","time","id"
"TCB",16.90,"2020-03-19 09:23:13",566820
"HUMB",44.00,"2020-03-19 10:08:14",566863
"TCB",18.80,"2020-03-19 10:08:14",566865
"HUMB",41.00,"2020-03-19 10:23:13",566881
"TCB",19.20,"2020-03-19 10:23:13",566883
"HUMB",42.00,"2020-03-19 10:38:14",566899
"TCB",19.60,"2020-03-19 10:38:14",566901
"HUMB",40.00,"2020-03-19 10:53:13",566917
"TCB",20.40,"2020-03-19 10:53:13",566919
"HUMB",41.00,"2020-03-30 09:08:56",577843
"TCB",4.30,"2020-03-30 09:08:56",577845
"HUMB",40.00,"2020-03-30 09:23:56",577861
"TCB",4.20,"2020-03-30 09:23:56",577863
"HUMB",41.00,"2020-03-30 09:53:56",577888
"TCB",3.80,"2020-03-30 09:53:56",577890
"HUMB",40.00,"2020-03-30 09:38:56",577870
"HUMB",36.00,"2020-03-30 10:08:56",577906
"TCB",4.70,"2020-03-30 10:08:56",577908
"TCB",3.40,"2020-03-30 09:38:56",577872
"HUMB",39.00,"2020-03-31 09:08:56",579706
"HUMB",40.00,"2020-03-30 10:23:56",577924
"TCB",5.30,"2020-03-30 10:23:56",577926
"HUMB",38.00,"2020-03-30 10:38:56",577942
"TCB",5.50,"2020-03-30 10:38:56",577944
"HUMB",34.00,"2020-03-30 10:53:56",577960
"TCB",5.20,"2020-03-30 10:53:56",577962
"TCB",7.60,"2020-03-31 09:08:56",579708
"HUMB",40.00,"2020-03-31 09:38:56",579742
"TCB",7.70,"2020-03-31 09:38:56",579744
"HUMB",39.00,"2020-03-31 09:23:56",579724
"HUMB",40.00,"2020-03-31 09:53:56",579760
"TCB",7.60,"2020-03-31 09:53:56",579762
"TCB",8.80,"2020-03-31 09:23:56",579726
"HUMB",39.00,"2020-03-31 10:08:56",579778
"TCB",8.90,"2020-03-31 10:08:56",579780
"HUMB",36.00,"2020-03-31 10:23:56",579796
"TCB",8.30,"2020-03-31 10:23:56",579798
"HUMB",60.00,"2020-03-31 10:53:56",579823
"TCB",4.60,"2020-03-31 10:53:56",579825
"HUMB",41.00,"2020-04-01 09:08:56",581533
"TCB",6.90,"2020-04-01 09:08:56",581535
"HUMB",41.00,"2020-04-01 09:23:56",581551
"TCB",7.20,"2020-04-01 09:23:56",581553
"HUMB",37.00,"2020-04-01 09:53:56",581578
"TCB",7.90,"2020-04-01 09:53:56",581580
"HUMB",41.00,"2020-04-01 10:08:56",581596
"TCB",7.70,"2020-04-01 10:08:56",581598
"HUMB",34.00,"2020-04-02 09:38:56",596939
"HUMB",38.00,"2020-04-01 10:23:56",581614
"TCB",8.60,"2020-04-01 10:23:56",581616
"HUMB",39.00,"2020-04-01 10:38:56",581632
"TCB",9.10,"2020-04-01 10:38:56",581634
"HUMB",38.00,"2020-04-01 10:53:56",581650
"TCB",8.40,"2020-04-01 10:53:56",581652
"TCB",11.10,"2020-04-02 09:38:56",596941
"HUMB",35.00,"2020-04-02 09:08:56",596887
"TCB",10.70,"2020-04-02 09:08:56",596889
"HUMB",34.00,"2020-04-02 09:53:57",596965
"HUMB",35.00,"2020-04-02 09:23:56",596913
"TCB",11.50,"2020-04-02 09:23:56",596915
"TCB",11.20,"2020-04-02 09:53:57",596967
"HUMB",32.00,"2020-04-02 10:08:56",596991
"HUMB",28.00,"2020-04-02 10:53:56",597060
"TCB",13.50,"2020-04-02 10:53:56",597062
"TCB",12.10,"2020-04-02 10:08:56",596993
"HUMB",31.00,"2020-04-02 10:23:56",597017
"TCB",12.80,"2020-04-02 10:23:56",597019
"HUMB",31.00,"2020-04-02 10:38:56",597034
"TCB",12.80,"2020-04-02 10:38:56",597036
"HUMB",37.00,"2020-04-03 09:23:56",598797
"HUMB",41.00,"2020-04-03 09:08:56",598779
"TCB",11.90,"2020-04-03 09:08:56",598781
"TCB",13.70,"2020-04-03 09:23:56",598799
"HUMB",37.00,"2020-04-03 09:38:56",598815
"TCB",13.70,"2020-04-03 09:38:56",598817
"HUMB",45.00,"2020-04-03 10:08:56",598842
"TCB",11.30,"2020-04-03 10:08:56",598844
"HUMB",47.00,"2020-04-03 10:38:56",598869
"TCB",11.30,"2020-04-03 10:38:56",598871
"HUMB",48.00,"2020-04-03 10:53:56",598887
"TCB",11.10,"2020-04-03 10:53:56",598889
"HUMB",44.00,"2020-04-04 09:53:56",600658
"TCB",11.80,"2020-04-04 09:53:56",600660
"HUMB",45.00,"2020-04-04 10:08:56",600676
"TCB",11.70,"2020-04-04 10:08:56",600678
"HUMB",42.00,"2020-04-04 10:23:56",600694
"HUMB",50.00,"2020-04-04 09:08:56",600613
"TCB",11.30,"2020-04-04 09:08:56",600615
"HUMB",51.00,"2020-04-04 09:23:56",600631
"TCB",10.80,"2020-04-04 09:23:56",600633
"TCB",13.70,"2020-04-04 10:23:56",600696
"HUMB",43.00,"2020-04-04 10:38:56",600712
"TCB",14.80,"2020-04-04 10:38:56",600714
"HUMB",35.00,"2020-04-04 10:53:56",600730
"TCB",14.90,"2020-04-04 10:53:56",600732
"HUMB",31.00,"2020-04-05 09:08:57",602386
"HUMB",32.00,"2020-04-05 09:23:56",602395
"TCB",14.40,"2020-04-05 09:23:56",602397
"HUMB",30.00,"2020-04-05 09:38:56",602404
"TCB",16.40,"2020-04-05 09:38:56",602406
"HUMB",29.00,"2020-04-05 09:53:56",602413
"TCB",15.90,"2020-04-05 09:53:56",602415
"TCB",14.90,"2020-04-05 09:08:57",602388
"HUMB",31.00,"2020-04-05 10:08:56",602422
"TCB",16.40,"2020-04-05 10:08:56",602424
"HUMB",26.00,"2020-04-06 10:08:57",604141
"HUMB",29.00,"2020-04-05 10:38:57",602449
"TCB",17.30,"2020-04-05 10:38:57",602451
"HUMB",27.00,"2020-04-05 10:53:56",602467
"TCB",17.40,"2020-04-05 10:53:56",602469
"HUMB",29.00,"2020-04-06 09:08:56",604069
"TCB",18.30,"2020-04-06 09:08:56",604071
"HUMB",29.00,"2020-04-06 09:23:56",604087
"TCB",18.80,"2020-04-06 09:23:56",604089
"HUMB",28.00,"2020-04-06 09:38:57",604105
"TCB",18.20,"2020-04-06 09:38:57",604107
"HUMB",28.00,"2020-04-06 09:53:56",604123
"TCB",18.70,"2020-04-06 09:53:56",604125
"TCB",19.40,"2020-04-06 10:08:57",604143
"HUMB",26.00,"2020-04-06 10:23:56",604159
"TCB",19.60,"2020-04-06 10:23:56",604161
"HUMB",27.00,"2020-04-06 10:38:57",604177
"TCB",20.30,"2020-04-06 10:38:57",604179
"HUMB",27.00,"2020-04-06 10:53:56",604195
"TCB",20.60,"2020-04-06 10:53:56",604197
"HUMB",17.00,"2020-04-07 10:38:56",605887
"HUMB",24.00,"2020-04-07 09:08:56",605806
"TCB",18.40,"2020-04-07 09:08:56",605808
"HUMB",22.00,"2020-04-07 09:23:57",605824
"TCB",19.10,"2020-04-07 09:23:57",605826
"HUMB",21.00,"2020-04-07 09:38:56",605842
"TCB",18.70,"2020-04-07 09:38:56",605844
"HUMB",18.00,"2020-04-07 10:08:56",605869
"TCB",19.50,"2020-04-07 10:08:56",605871
"TCB",20.30,"2020-04-07 10:38:56",605889
"HUMB",18.00,"2020-04-07 10:53:56",605905
"TCB",20.20,"2020-04-07 10:53:56",605907
"HUMB",25.00,"2020-04-08 09:08:56",607444
"TCB",19.50,"2020-04-08 09:08:56",607446
"HUMB",20.00,"2020-04-08 09:23:56",607462
"TCB",19.70,"2020-04-08 09:23:56",607464
"HUMB",21.00,"2020-04-08 09:38:57",607480
"HUMB",21.00,"2020-04-08 09:53:56",607498
"TCB",20.30,"2020-04-08 09:53:56",607500
"TCB",19.40,"2020-04-08 09:38:57",607482
"HUMB",24.00,"2020-04-09 09:08:56",608983
"HUMB",24.00,"2020-04-08 10:08:56",607516
"TCB",20.50,"2020-04-08 10:08:56",607518
"HUMB",22.00,"2020-04-08 10:23:56",607534
"TCB",21.40,"2020-04-08 10:23:56",607536
"HUMB",22.00,"2020-04-08 10:23:56",607543
"TCB",21.40,"2020-04-08 10:23:56",607545
"HUMB",22.00,"2020-04-08 10:23:56",607552
"TCB",21.40,"2020-04-08 10:23:56",607554
"HUMB",20.00,"2020-04-08 10:38:57",607570
"TCB",21.20,"2020-04-08 10:38:57",607572
"HUMB",20.00,"2020-04-08 10:53:56",607579
"TCB",21.10,"2020-04-08 10:53:56",607581
"TCB",19.30,"2020-04-09 09:08:56",608985
"HUMB",25.00,"2020-04-09 09:23:56",609001
"TCB",19.20,"2020-04-09 09:23:56",609003
"HUMB",23.00,"2020-04-09 09:53:56",609028
"HUMB",24.00,"2020-04-09 10:38:56",609082
"TCB",20.80,"2020-04-09 09:53:56",609030
"HUMB",24.00,"2020-04-09 10:08:56",609046
"TCB",21.90,"2020-04-09 10:38:56",609084
"HUMB",22.00,"2020-04-09 10:53:56",609100
